id,file_path,image_file_name,SEM_number_image,SEM_number_image_conf,scientific_name_filename,SEM_number_filename,angle_filename
3110,images/Hemiptera/Aradidae/Aradus depressus female (2ventral).jpg,Aradus depressus female (2ventral).jpg,OCR FAILED,0,Aradus depressus female,,ventral
3182,images/Hemiptera/Aradidae/Aradus laeviusculus male (2ventral).jpg,Aradus laeviusculus male (2ventral).jpg,OCR FAILED,0,Aradus laeviusculus male,,ventral
3217,images/Hemiptera/Cicadidae/Okanagana rimosa (4front).jpg,Okanagana rimosa (4front).jpg,SEM,0.794234433,Okanagana rimosa,,front
3513,images/Hemiptera/Membracidae/Gargara genistae (1dorsal) .jpg,Gargara genistae (1dorsal) .jpg,OCR FAILED,0,Gargara genistae,,dorsal
3581,images/Hemiptera/Membracidae/Platycotis maritima form A (2ventral) .jpg,Platycotis maritima form A (2ventral) .jpg,OCR FAILED,0,Platycotis maritima form A,,ventral
3831,images/Hemiptera/Tingidae/Leptodictya leinahoni (2ventral).jpg,Leptodictya leinahoni (2ventral).jpg,OCR FAILED,0,Leptodictya leinahoni,,ventral
3921,images/Hemiptera/Tingidae/Dictyonota fuliginosa (2ventral).jpg,Dictyonota fuliginosa (2ventral).jpg,OCR FAILED,0,Dictyonota fuliginosa,,ventral
3995,images/Hemiptera/Anthocoridae/Anthocoris nemoralis (2ventral).jpg,Anthocoris nemoralis (2ventral).jpg,OCR FAILED,0,Anthocoris nemoralis,,ventral
4029,images/Hemiptera/Anthocoridae/Anthocoris musculus (2ventral) .jpg,Anthocoris musculus (2ventral) .jpg,SEM-UBC AANTH-0166,0.797464525,Anthocoris musculus,,ventral
4209,images/Plecoptera/Chloroperlidae/Alloperla serrata female (2ventral).jpg,Alloperla serrata female (2ventral).jpg,OCR FAILED,0,Alloperla serrata female,,ventral
4445,images/Siphonaptera/Ctenophthalmidae/Ctenophthalmus nobilis vulgaris male (label 2A).jpg,Ctenophthalmus nobilis vulgaris male (label 2A).jpg,OCR FAILED,0,Ctenophthalmus nobilis vulgaris male,,label A
4480,images/Siphonaptera/Ctenophthalmidae/Palaeopsylla soricis soricis female (label 1B).jpg,Palaeopsylla soricis soricis female (label 1B).jpg,OCR FAILED,0,Palaeopsylla soricis soricis female,,label B
4598,images/Siphonaptera/Ceratophyllidae/Ceratophyllus vision female (label 1B).jpg,Ceratophyllus vision female (label 1B).jpg,SEM-JBC SIP-0U5T,0.483151394,Ceratophyllus vision female,,label B
5266,images/Siphonaptera/Hystrichopsyllidae/Hystrichopsylla occidentalis female (label 2).jpg,Hystrichopsylla occidentalis female (label 2).jpg,OCR FAILED,0,Hystrichopsylla occidentalis female,,label 
5808,images/Blattodea/Blaberidae/Archimandrita tessellata (2ventral).jpg,Archimandrita tessellata (2ventral).jpg,OCR FAILED,0,Archimandrita tessellata,,ventral
5810,images/Blattodea/Blaberidae/Archimandrita tessellata (1dorsal).jpg,Archimandrita tessellata (1dorsal).jpg,OCR FAILED,0,Archimandrita tessellata,,dorsal
5815,images/Blattodea/Blaberidae/Archimandrita tessellata (3lateral).jpg,Archimandrita tessellata (3lateral).jpg,OCR FAILED,0,Archimandrita tessellata,,lateral
6740,images/Hymenoptera/Apidae/Apinae/Bombus [Psithyrus] suckleyi male (4front).jpg,Bombus [Psithyrus] suckleyi male (4front).jpg,SEM-U€ HYM-3205,0.963901724,Bombus [Psithyrus] suckleyi male,,front
6755,images/Hymenoptera/Apidae/Apinae/Melissodes communis female (4front) .jpg,Melissodes communis female (4front) .jpg,SEM- UBC HYM-6350,0.392523926,Melissodes communis female,,front
6998,images/Hymenoptera/Apidae/Apinae/Melissodes sp. Form A (4front).jpg,Melissodes sp. Form A (4front).jpg,SEM UBC HM-3219,0.526883589,Melissodes sp. Form A,,front
7709,images/Hymenoptera/Megachilidae/Anthidium manicatum (1front).jpg,Anthidium manicatum (1front).jpg,SEM UBC HYM-9170,0.581458278,Anthidium manicatum,,front
7916,images/Hymenoptera/Formicidae/Formica neorufibarbis non-winged form (2ventral).jpg,Formica neorufibarbis non-winged form (2ventral).jpg,SEM UBC HYM-2393,0.813097954,Formica neorufibarbis non-winged form,,ventral
8422,images/Hymenoptera/Ichneumonidae/Ichneumoninae/Ichneumonini sp form A (3lateral) .jpg,Ichneumonini sp form A (3lateral) .jpg,OCR FAILED,0,Ichneumonini sp form A,,lateral
8799,images/Hymenoptera/Ichneumonidae/Rhyssinae/Megarhyssa atrata female (1dorsal) merged.jpg,Megarhyssa atrata female (1dorsal) merged.jpg,OCR FAILED,0,Megarhyssa atrata female,,dorsal
8976,images/Hymenoptera/Ichneumonidae/Cryptinae/Megaplectes monticola blakei female (4front) .jpg,Megaplectes monticola blakei female (4front) .jpg,SEM UBC HYM-5081,0.886097729,Megaplectes monticola blakei female,,front
10835,images/Hymenoptera/Aphelinidae/Encarsia formosa (1dorsal) .jpg,Encarsia formosa (1dorsal) .jpg,OCR FAILED,0,Encarsia formosa,,dorsal
11045,images/Hymenoptera/Vespidae/Eumeninae/Ancistrocerus antilope antilope form A (4front).jpg,Ancistrocerus antilope antilope form A (4front).jpg,SEM HYM-3514,0.802088918,Ancistrocerus antilope antilope form A,,front
12176,images/Hymenoptera/Sphecidae/Ammophila mediata female (4front) .jpg,Ammophila mediata female (4front) .jpg,SEM-IUIBC HYM-4813,0.927359969,Ammophila mediata female,,front
12747,images/Dermaptera/Anisolabididae/Euborellia annulipes (1dorsal) .jpg,Euborellia annulipes (1dorsal) .jpg,OCR FAILED,0,Euborellia annulipes,,dorsal
12768,images/Lepidoptera/Lasiocampidae/Phyllodesma americana (3lateral).jpg,Phyllodesma americana (3lateral).jpg,OCR FAILED,0,Phyllodesma americana,,lateral
14262,images/Lepidoptera/Erebidae/Erebinae/Catocala innubens (2ventral).jpg,Catocala innubens (2ventral).jpg,SEM UBC NOC-0971,0.473939433,Catocala innubens,,ventral
14275,images/Lepidoptera/Erebidae/Erebinae/Catocala cara (2ventral).jpg,Catocala cara (2ventral).jpg,SEM UBC NOC-0965,0.924432444,Catocala cara,,ventral
14530,images/Lepidoptera/Erebidae/Herminiinae/Idia americalis (2ventral).jpg,Idia americalis (2ventral).jpg,SEM UBC NOC-1056,0.84676037,Idia americalis,,ventral
15003,images/Lepidoptera/Sphingidae/Manduca quinquemaculata female (1dorsal).jpg,Manduca quinquemaculata female (1dorsal).jpg,OCR FAILED,0,Manduca quinquemaculata female,,dorsal
15018,images/Lepidoptera/Sphingidae/Pachysphinx modesta male (1dorsal).jpg,Pachysphinx modesta male (1dorsal).jpg,SEM UBC SPH-0198,0.23734621,Pachysphinx modesta male,,dorsal
16030,images/Diptera/Hippoboscidae/Crataerina pallida (2ventral).jpg,Crataerina pallida (2ventral).jpg,OCR FAILED,0,Crataerina pallida,,ventral
16037,images/Diptera/Hippoboscidae/Pseudolynchia canariensis (2ventral).jpg,Pseudolynchia canariensis (2ventral).jpg,OCR FAILED,0,Pseudolynchia canariensis,,ventral
16179,images/Diptera/Coelopidae/Coelopa sp form A (1dorsal) .jpg,Coelopa sp form A (1dorsal) .jpg,OCR FAILED,0,Coelopa sp form A,,dorsal
16280,images/Diptera/Hybotidae/Crossopalpus sp (4front) .jpg,Crossopalpus sp (4front) .jpg,SEM UBC EMP-0448,0.815345448,Crossopalpus sp,,front
16879,images/Diptera/Anthomyiidae/Leucophora fusca (4front).jpg,Leucophora fusca (4front).jpg,SEM-UBC /-0102,0.373841722,Leucophora fusca,,front
17043,images/Diptera/Anthomyiidae/Delia lineariventris (1dorsal) .jpg,Delia lineariventris (1dorsal) .jpg,SEM UBC ANT-0044,0.578740662,Delia lineariventris,,dorsal
17308,images/Diptera/Anthomyiidae/Zaphne altilega (4front).jpg,Zaphne altilega (4front).jpg,SEM-UB€,0.377333007,Zaphne altilega,,front
17396,images/Diptera/Anthomyiidae/Delia florilega (3lateral) .jpg,Delia florilega (3lateral) .jpg,SEM UBC ANT-0039,0.698519377,Delia florilega,,lateral
17461,images/Diptera/Anthomyiidae/Delia aemene (4front).jpg,Delia aemene (4front).jpg,SEM UBC ANT-0024,0.764945678,Delia aemene,,front
17573,images/Diptera/Sciomyzidae/Dictya montana (parts in vial) .jpg,Dictya montana (parts in vial) .jpg,SEM UBC SCI-0002,0.550053343,Dictya montana,,parts in vial
18758,images/Diptera/Pachyneuridae/Cramptonomyia spenceri (1dorsal) .jpg,Cramptonomyia spenceri (1dorsal) .jpg,OCR FAILED,0,Cramptonomyia spenceri,,dorsal
18976,images/Diptera/Dolichopodidae/Hydrophorus breviseta (4front).jpg,Hydrophorus breviseta (4front).jpg,SEM UBC DCL Q035,0.242746861,Hydrophorus breviseta,,front
19034,images/Diptera/Dolichopodidae/Tachytrechus sp form B (4front).jpg,Tachytrechus sp form B (4front).jpg,SEM,0.274954408,Tachytrechus sp form B,,front
19089,images/Diptera/Dolichopodidae/Medetera aldrichii (2ventral) .jpg,Medetera aldrichii (2ventral) .jpg,SEM-TBC DOL-0048,0.425583438,Medetera aldrichii,,ventral
19791,images/Diptera/Asilidae/Laphria astur (4front) .jpg,Laphria astur (4front) .jpg,SEM UBC ASL0052,0.436029053,Laphria astur,,front
20316,images/Diptera/Syrphidae/Volucella evecta (4front).jpg,Volucella evecta (4front).jpg,OCR FAILED,0,Volucella evecta,,front
20648,images/Diptera/Syrphidae/Lejops bilinearis female (4front).jpg,Lejops bilinearis female (4front).jpg,OCR FAILED,0,Lejops bilinearis female,,front
21170,images/Diptera/Dixidae/Dixidae sp form A (3lateral) .jpg,Dixidae sp form A (3lateral) .jpg,OCR FAILED,0,Dixidae sp form A,,lateral
21506,images/Diptera/Oestridae/Cuterebra fontinella (4front).jpg,Cuterebra fontinella (4front).jpg,SEM-UBC 0ES-0024,0.263886163,Cuterebra fontinella,,front
21550,images/Diptera/Chironomidae/Diamesa sp (4front) .jpg,Diamesa sp (4front) .jpg,SEM-AEC CHE-0105,0.121430343,Diamesa sp,,front
21627,images/Diptera/Polleniidae/Pollenia angustigena (4front).jpg,Pollenia angustigena (4front).jpg,SEM UBC CAL-1329,0.130509621,Pollenia angustigena,,front
21912,images/Diptera/Culicidae/Aedes diantaeus female (4front).jpg,Aedes diantaeus female (4front).jpg,SEM UBC CUL-0531,0.785335691,Aedes diantaeus female,,front
21978,images/Diptera/Culicidae/Culiseta morsitans female (3lateral) body.jpg,Culiseta morsitans female (3lateral) body.jpg,SEM UBC CUL-0567,0.730917238,Culiseta morsitans female,,lateral
22520,images/Diptera/Mycetophilidae/Gnoriste sp (4front) .jpg,Gnoriste sp (4front) .jpg,SEM UBC MYC-0019,0.982883908,Gnoriste sp,,front
22659,images/Diptera/Scathophagidae/Bucephalina sp (4front).jpg,Bucephalina sp (4front).jpg,OCR FAILED,0,Bucephalina sp,,front
22769,images/Diptera/Scathophagidae/Pleurochaetella simplicipes (4front).jpg,Pleurochaetella simplicipes (4front).jpg,SEM-U6 < SCA-(032,0.212369677,Pleurochaetella simplicipes,,front
22772,images/Diptera/Scathophagidae/Okeniella dasyprocta (4front).jpg,Okeniella dasyprocta (4front).jpg,OCR FAILED,0,Okeniella dasyprocta,,front
22846,images/Diptera/Tachinidae/Bombyliomyia soror (4front).jpg,Bombyliomyia soror (4front).jpg,OCR FAILED,0,Bombyliomyia soror,,front
22913,images/Diptera/Tachinidae/Prooppia strigifrons (4front).jpg,Prooppia strigifrons (4front).jpg,SEM WEC TAC-OISD,0.166988854,Prooppia strigifrons,,front
22930,images/Diptera/Tachinidae/Siphona cristata (4front).jpg,Siphona cristata (4front).jpg,OCR FAILED,0,Siphona cristata,,front
23236,images/Diptera/Tachinidae/Phasia fenestrata (4front).jpg,Phasia fenestrata (4front).jpg,OCR FAILED,0,Phasia fenestrata,,front
23321,images/Diptera/Tachinidae/Gymnosoma occidentale (1dorsal) .jpg,Gymnosoma occidentale (1dorsal) .jpg,OCR FAILED,0,Gymnosoma occidentale,,dorsal
23332,images/Diptera/Tachinidae/Linnaemya comta (4front).jpg,Linnaemya comta (4front).jpg,SEM-4B ` TAC-0108,0.188572187,Linnaemya comta,,front
23381,images/Diptera/Tachinidae/Tachina latigena (4front).jpg,Tachina latigena (4front).jpg,SEM-UBC (AC-0193,0.594124542,Tachina latigena,,front
23438,images/Diptera/Tachinidae/Tachinomyia apicata form B (4front).jpg,Tachinomyia apicata form B (4front).jpg,SEM UBC TAC-0235,0.321976626,Tachinomyia apicata form B,,front
23595,images/Diptera/Tachinidae/Euexorista rebaptizata (4front).jpg,Euexorista rebaptizata (4front).jpg,SEM-UBC AC-00Q6,0.178806816,Euexorista rebaptizata,,front
23877,images/Coleoptera/Dryopidae/Helichus basalis (3lateral).jpg,Helichus basalis (3lateral).jpg,OCR FAILED,0,Helichus basalis,,lateral
25070,images/Coleoptera/Leiodidae/Catoptrichus frankenhaeuseri (4front).jpg,Catoptrichus frankenhaeuseri (4front).jpg,SEM URCCOL-27627,0.177228775,Catoptrichus frankenhaeuseri,,front
25537,images/Coleoptera/Hydrophilidae/Hydrophilus triangularis (4front) .jpg,Hydrophilus triangularis (4front) .jpg,SEM UBC COL-29444,0.341651987,Hydrophilus triangularis,,front
26760,images/Coleoptera/Carabidae/Cicindelinae/Tetracha carolina (1dorsal).jpg,Tetracha carolina (1dorsal).jpg,OCR FAILED,0,Tetracha carolina,,dorsal
29014,images/Coleoptera/Carabidae/Nebriinae/Nebria eschscholtzii (1dorsal).jpg,Nebria eschscholtzii (1dorsal).jpg,OCR FAILED,0,Nebria eschscholtzii,,dorsal
29493,images/Coleoptera/Elateridae/Neopristilophus maurus (2ventral) .jpg,Neopristilophus maurus (2ventral) .jpg,OCR FAILED,0,Neopristilophus maurus,,ventral
30902,images/Coleoptera/Sphindidae/Sphindus americanus (3lateral).jpg,Sphindus americanus (3lateral).jpg,OCR FAILED,0,Sphindus americanus,,lateral
30903,images/Coleoptera/Sphindidae/Sphindus americanus (1dorsal).jpg,Sphindus americanus (1dorsal).jpg,OCR FAILED,0,Sphindus americanus,,dorsal
30910,images/Coleoptera/Sphindidae/Sphindus americanus (2ventral).jpg,Sphindus americanus (2ventral).jpg,OCR FAILED,0,Sphindus americanus,,ventral
31177,images/Coleoptera/Scarabaeidae/Copris remotus (3lateral) Copris remotus (3lateral).jpg,Copris remotus (3lateral) Copris remotus (3lateral).jpg,OCR FAILED,0,Copris remotus,,lateral
31213,images/Coleoptera/Scarabaeidae/Euphoria inda form C (4front).jpg,Euphoria inda form C (4front).jpg,OCR FAILED,0,Euphoria inda form C,,front
31251,images/Coleoptera/Scarabaeidae/Dichelonyx vaga male (5genitalia) .jpg,Dichelonyx vaga male (5genitalia) .jpg,OCR FAILED,0,Dichelonyx vaga male,,genitalia
31262,images/Coleoptera/Scarabaeidae/Macrodactylus subspinosus (4front).jpg,Macrodactylus subspinosus (4front).jpg,SEM,0.97747088,Macrodactylus subspinosus,,front
31347,images/Coleoptera/Scarabaeidae/Diplotaxis brevicollis (4front).jpg,Diplotaxis brevicollis (4front).jpg,OCR FAILED,0,Diplotaxis brevicollis,,front
31573,images/Coleoptera/Cryptophagidae/Cryptophagus difficilis (3lateral) .jpg,Cryptophagus difficilis (3lateral) .jpg,OCR FAILED,0,Cryptophagus difficilis,,lateral