file_path,image_file_name,SEM_number_image,SEM_number_image_conf,scientific_name_filename,SEM_number_filename,angle_filename
example_images/Zootermopsis angusticollis form B (3lateral) .jpg,Zootermopsis angusticollis form B (3lateral) .jpg,SEM-UBC ISO-0005,0.763214946877001,Zootermopsis angusticollis form B,,lateral
example_images/Tomocerus brevimucronatus (6label) COLL-0012.jpeg,Tomocerus brevimucronatus (6label) COLL-0012.jpeg,SEM-UBC COLL-0012,FROM FILENAME,Tomocerus brevimucronatus,SEM-UBC COLL-0012,label
example_images/Blattella vaga (1dorsal) SEM-UBC DIC-0172.jpg,Blattella vaga (1dorsal) SEM-UBC DIC-0172.jpg,SEM-UBC DIC-0172,FROM FILENAME,Blattella vaga,SEM-UBC DIC-0172,dorsal
example_images/Agulla bicolor male (3lateral).jpeg,Agulla bicolor male (3lateral).jpeg,SEM-UBC RAP-0166,0.7297259862315967,Agulla bicolor male,,lateral
example_images/Parcoblatta americana (2ventral) SEM-UBC DIC-0180.jpg,Parcoblatta americana (2ventral) SEM-UBC DIC-0180.jpg,SEM-UBC DIC-0180,FROM FILENAME,Parcoblatta americana,SEM-UBC DIC-0180,ventral
example_images/Euthyrrhapha pacifica (1dorsal) SEM-UBC DIC-0172.jpg,Euthyrrhapha pacifica (1dorsal) SEM-UBC DIC-0172.jpg,SEM-UBC DIC-0172,FROM FILENAME,Euthyrrhapha pacifica,SEM-UBC DIC-0172,dorsal
example_images/Leptomantispa pulchella (2ventral).jpg,Leptomantispa pulchella (2ventral).jpg,SEM-UBC NEU-0917,0.9938733068993871,Leptomantispa pulchella,,ventral
example_images/Zootermopsis angusticollis form B (1dorsal) .jpg,Zootermopsis angusticollis form B (1dorsal) .jpg,SEM-UBC ISO-0005,0.9542627844011332,Zootermopsis angusticollis form B,,dorsal
example_images/Lomamyia occidentalis (3lateral) SEM-UBC NEU-0472.jpeg,Lomamyia occidentalis (3lateral) SEM-UBC NEU-0472.jpeg,SEM-UBC NEU-0472,FROM FILENAME,Lomamyia occidentalis,SEM-UBC NEU-0472,lateral
example_images/Supella longipalpa form A (3lateral) .jpg,Supella longipalpa form A (3lateral) .jpg,SEM-UBC DIC-0085,0.7402857945769888,Supella longipalpa form A,,lateral
example_images/Ptenothrix unicolor (6fullslide) COLL-0004.jpeg,Ptenothrix unicolor (6fullslide) COLL-0004.jpeg,SEM-UBC COLL-0004,FROM FILENAME,Ptenothrix unicolor,SEM-UBC COLL-0004,fullslide
example_images/Amphizoa lecontei (2ventral).jpg,Amphizoa lecontei (2ventral).jpg,SEM-UBC COL-0057,0.9848359424232329,Amphizoa lecontei,,ventral
example_images/Periplaneta australasiae (2ventral) .jpg,Periplaneta australasiae (2ventral) .jpg,SEM-UBC DIC-0044,0.8347354583803007,Periplaneta australasiae,,ventral
example_images/Nyctibora sp form C (2ventral) .jpg,Nyctibora sp form C (2ventral) .jpg,SEM-UBC DIC-0076,0.9542084479220361,Nyctibora sp form C,,ventral
example_images/Periplaneta americana (2ventral) .jpg,Periplaneta americana (2ventral) .jpg,SEM-UBC DIC-0039,0.9431951525691684,Periplaneta americana,,ventral
example_images/Ipelates latus form A (4front).jpg,Ipelates latus form A (4front).jpg,SEM-UBC COL-28994,0.7964066180425325,Ipelates latus form A,,front
example_images/Pycnoscelus surinamensis (3lateral) .jpg,Pycnoscelus surinamensis (3lateral) .jpg,SEM-UBC DIC-0072,0.9780455632410966,Pycnoscelus surinamensis,,lateral
example_images/Dicyrtoma sp. (2right) COLL-0010.jpg,Dicyrtoma sp. (2right) COLL-0010.jpg,SEM-UBC COLL-0010,FROM FILENAME,Dicyrtoma sp.,SEM-UBC COLL-0010,right
example_images/Sinella baca (1dorsal) COLL-0011.jpeg,Sinella baca (1dorsal) COLL-0011.jpeg,SEM-UBC COLL-0011,FROM FILENAME,Sinella baca,SEM-UBC COLL-0011,dorsal
example_images/Ipelates latus form A (2ventral) .jpg,Ipelates latus form A (2ventral) .jpg,SEM-UBC COL-28994,0.9466895441400068,Ipelates latus form A,,ventral
example_images/Zootermopsis angusticollis form D (3lateral) .jpg,Zootermopsis angusticollis form D (3lateral) .jpg,SEM-UBC ISO-0035,0.9073909342729657,Zootermopsis angusticollis form D,,lateral
example_images/Species A form A (1dorsal) [Host - Columba palumbus] SEM-UBC PHT-0640.jpg,Species A form A (1dorsal) [Host - Columba palumbus] SEM-UBC PHT-0640.jpg,SEM-UBC PHT-0640,FROM FILENAME,Species A form A,SEM-UBC PHT-0640,dorsal
example_images/Sinella baca (5full) COLL-0011.jpeg,Sinella baca (5full) COLL-0011.jpeg,SEM-UBC COLL-0011,FROM FILENAME,Sinella baca,SEM-UBC COLL-0011,full
example_images/Aderus populneus (2ventral) .jpg,Aderus populneus (2ventral) .jpg,SEM-UBC COL-28948,0.8045581135470616,Aderus populneus,,ventral
example_images/Necrophilus hydrophiloides form B (1dorsal) .jpg,Necrophilus hydrophiloides form B (1dorsal) .jpg,SEM-UBC COL-28997,0.7253481375198981,Necrophilus hydrophiloides form B,,dorsal
example_images/Apteroloma caraboides (2ventral) .jpg,Apteroloma caraboides (2ventral) .jpg,SEM-UBC COL-28991,0.9993891391551561,Apteroloma caraboides,,ventral
example_images/Dicyrtoma sp. (1left) COLL-0010.jpeg,Dicyrtoma sp. (1left) COLL-0010.jpeg,SEM-UBC COLL-0010,FROM FILENAME,Dicyrtoma sp.,SEM-UBC COLL-0010,left
example_images/Paruroctonus boreus (3lateral) SCO-0001.jpeg,Paruroctonus boreus (3lateral) SCO-0001.jpeg,SEM-UBC SCO-0001,FROM FILENAME,Paruroctonus boreus,SEM-UBC SCO-0001,lateral
example_images/Mantispa interrupta (2ventral) SEM-UBC NEU-0919.jpg,Mantispa interrupta (2ventral) SEM-UBC NEU-0919.jpg,SEM-UBC NEU-0919,FROM FILENAME,Mantispa interrupta,SEM-UBC NEU-0919,ventral
example_images/Leptomantispa pulchella (1dorsal).jpg,Leptomantispa pulchella (1dorsal).jpg,SEM-UBC NEU-0917,0.9849146292097084,Leptomantispa pulchella,,dorsal
example_images/Sinella baca (6label) COLL-0011.jpeg,Sinella baca (6label) COLL-0011.jpeg,SEM-UBC COLL-0011,FROM FILENAME,Sinella baca,SEM-UBC COLL-0011,label
example_images/Nyctibora sp form B (2ventral) .jpg,Nyctibora sp form B (2ventral) .jpg,SEM-UBC DIC-0078,0.9467276677168274,Nyctibora sp form B,,ventral
example_images/Necrophilus hydrophiloides form B (2ventral) .jpg,Necrophilus hydrophiloides form B (2ventral) .jpg,SEM-UBC COL-28997,0.8056590318584502,Necrophilus hydrophiloides form B,,ventral
example_images/Blattella germanica nymph (1dorsal) .jpg,Blattella germanica nymph (1dorsal) .jpg,SEM-UBC DIC-0108,0.661579114983213,Blattella germanica nymph,,dorsal
example_images/Reticulitermes hesperus (3lateral) .jpg,Reticulitermes hesperus (3lateral) .jpg,SEM-UBC ISO-0130,0.9155410050820288,Reticulitermes hesperus,,lateral
example_images/Entomobrya multifasciata (2right) COLL-0007.jpeg,Entomobrya multifasciata (2right) COLL-0007.jpeg,SEM-UBC COLL-0007,FROM FILENAME,Entomobrya multifasciata,SEM-UBC COLL-0007,right
example_images/Sisyra fuscatus (3lateral).jpeg,Sisyra fuscatus (3lateral).jpeg,SEM-UBC NEU-1083,0.8985626109353988,Sisyra fuscatus,,lateral
example_images/Blattella germanica nymph (2ventral) .jpg,Blattella germanica nymph (2ventral) .jpg,SEM-UBC DIC-0108,0.7294428435670941,Blattella germanica nymph,,ventral
example_images/Parcoblatta americana (1dorsal) SEM-UBC DIC-0180.jpg,Parcoblatta americana (1dorsal) SEM-UBC DIC-0180.jpg,SEM-UBC DIC-0180,FROM FILENAME,Parcoblatta americana,SEM-UBC DIC-0180,dorsal
example_images/Tragosoma depsarium (2ventral).jpg,Tragosoma depsarium (2ventral).jpg,SEM-UBC COL-9815,0.969180854871524,Tragosoma depsarium,,ventral
example_images/Mantispa interrupta (1dorsal) SEM-UBC NEU-0919.jpg,Mantispa interrupta (1dorsal) SEM-UBC NEU-0919.jpg,SEM-UBC NEU-0919,FROM FILENAME,Mantispa interrupta,SEM-UBC NEU-0919,dorsal
example_images/Hypenodes caducus (1dorsal).jpg,Hypenodes caducus (1dorsal).jpg,SEM-UBC NOC-0435,0.7324297407107765,Hypenodes caducus,,dorsal
example_images/Chlorosea banksaria (1dorsal) SEM-UBC GEO-0974.jpg,Chlorosea banksaria (1dorsal) SEM-UBC GEO-0974.jpg,SEM-UBC GEO-0974,FROM FILENAME,Chlorosea banksaria,SEM-UBC GEO-0974,dorsal
example_images/Agyrtes longulus (2ventral) .jpg,Agyrtes longulus (2ventral) .jpg,SEM-UBC COL-28989,0.9868920317729579,Agyrtes longulus,,ventral
example_images/Ptenothrix unicolor (1left) COLL-0004.jpeg,Ptenothrix unicolor (1left) COLL-0004.jpeg,SEM-UBC COLL-0004,FROM FILENAME,Ptenothrix unicolor,SEM-UBC COLL-0004,left
example_images/Paruroctonus boreus (1dorsal) SCO-0001.jpeg,Paruroctonus boreus (1dorsal) SCO-0001.jpeg,SEM-UBC SCO-0001,FROM FILENAME,Paruroctonus boreus,SEM-UBC SCO-0001,dorsal
example_images/Climaciella brunnea (2ventral).jpg,Climaciella brunnea (2ventral).jpg,SEM-UBC NEU-0911,0.9115808527409934,Climaciella brunnea,,ventral
example_images/Ergates spiculatus spiculatus (1dorsal) merged.jpg,Ergates spiculatus spiculatus (1dorsal) merged.jpg,SEM-UBC COL-5016,0.7641743738003919,Ergates spiculatus spiculatus,,dorsal
example_images/Zootermopsis angusticollis form A (1dorsal) .jpg,Zootermopsis angusticollis form A (1dorsal) .jpg,SEM-UBC ISO-0015,0.6312999288979917,Zootermopsis angusticollis form A,,dorsal
example_images/Periplaneta americana nymph (4front).jpg,Periplaneta americana nymph (4front).jpg,SEM-UBC DIC-0027,0.9685998520958969,Periplaneta americana nymph,,front
example_images/Isotoma viridis (2right) COLL-0005.jpeg,Isotoma viridis (2right) COLL-0005.jpeg,SEM-UBC COLL-0005,FROM FILENAME,Isotoma viridis,SEM-UBC COLL-0005,right
example_images/Isotomurus palustris (1left) COLL-0002.jpeg,Isotomurus palustris (1left) COLL-0002.jpeg,SEM-UBC COLL-0002,FROM FILENAME,Isotomurus palustris,SEM-UBC COLL-0002,left
example_images/Panchlora sp Form B (2ventral) .jpg,Panchlora sp Form B (2ventral) .jpg,SEM-UBC DIC-0069,0.3578295441278666,Panchlora sp Form B,,ventral
example_images/Blatta orientalis nymph (3lateral) .jpg,Blatta orientalis nymph (3lateral) .jpg,SEM-UBC DIC-0016,0.6836260485434876,Blatta orientalis nymph,,lateral
example_images/Blattella germanica (3lateral) .jpg,Blattella germanica (3lateral) .jpg,SEM-UBC DIC-0112,0.8601124285094767,Blattella germanica,,lateral
example_images/Blatta orientalis (3lateral) .jpg,Blatta orientalis (3lateral) .jpg,SEM-UBC DIC-0001,0.8988984742771026,Blatta orientalis,,lateral
example_images/Blattella germanica (1dorsal) .jpg,Blattella germanica (1dorsal) .jpg,SEM-UBC DIC-0112,0.9829657058585684,Blattella germanica,,dorsal
example_images/Zootermopsis nevadensis (1dorsal) .jpg,Zootermopsis nevadensis (1dorsal) .jpg,SEM-UBC ISO-0001,0.9473633050056548,Zootermopsis nevadensis,,dorsal
example_images/Pteroloma nebrioides (2ventral) .jpg,Pteroloma nebrioides (2ventral) .jpg,SEM-UBC COL-28998,0.9312844964877347,Pteroloma nebrioides,,ventral
example_images/Tomocerus flavescens (1left) COLL-0003.jpeg,Tomocerus flavescens (1left) COLL-0003.jpeg,SEM-UBC COLL-0003,FROM FILENAME,Tomocerus flavescens,SEM-UBC COLL-0003,left
example_images/Ergates spiculatus spiculatus (2lateral) merged.jpg,Ergates spiculatus spiculatus (2lateral) merged.jpg,SEM-UBC COL-5016,0.9935532722853021,Ergates spiculatus spiculatus,,lateral
example_images/Supella longipalpa form B (2ventral) .jpg,Supella longipalpa form B (2ventral) .jpg,SEM-UBC DIC-0090,0.9708194153232537,Supella longipalpa form B,,ventral
example_images/Parcoblatta americana (3lateral) SEM-UBC DIC-0180.jpg,Parcoblatta americana (3lateral) SEM-UBC DIC-0180.jpg,SEM-UBC DIC-0180,FROM FILENAME,Parcoblatta americana,SEM-UBC DIC-0180,lateral
example_images/Blaberus sp (1dorsal) merged.jpg,Blaberus sp (1dorsal) merged.jpg,SEM-UBC DIC-0058,0.8946930468505494,Blaberus sp,,dorsal
example_images/Cryptotermes brevis (2ventral) wings only.jpg,Cryptotermes brevis (2ventral) wings only.jpg,SEM-UBC ISO-0050,0.9347751403848643,Cryptotermes brevis,,ventral
example_images/Dicyrtoma sp. (1left) COLL-0010.jpg,Dicyrtoma sp. (1left) COLL-0010.jpg,SEM-UBC COLL-0010,FROM FILENAME,Dicyrtoma sp.,SEM-UBC COLL-0010,left
example_images/Zootermopsis angusticollis form C (3lateral) .jpg,Zootermopsis angusticollis form C (3lateral) .jpg,SEM-UBC ISO-0010,0.8358587389976239,Zootermopsis angusticollis form C,,lateral
example_images/Lepidocyrtus cyaneus (2right) COLL-0006.jpeg,Lepidocyrtus cyaneus (2right) COLL-0006.jpeg,SEM-UBC COLL-0006,FROM FILENAME,Lepidocyrtus cyaneus,SEM-UBC COLL-0006,right
example_images/Amphizoa insolens (3lateral).jpg,Amphizoa insolens (3lateral).jpg,SEM-UBC COL-0044,0.7219687094782221,Amphizoa insolens,,lateral
example_images/normal_image/Isotoma viridis (1left) COLL-0005.jpeg,Isotoma viridis (1left) COLL-0005.jpeg,SEM-UBC COLL-0005,FROM FILENAME,Isotoma viridis,SEM-UBC COLL-0005,left
example_images/normal_image/Folsomia fimetaria (1left) COLL-0008.jpeg,Folsomia fimetaria (1left) COLL-0008.jpeg,SEM-UBC COLL-0008,FROM FILENAME,Folsomia fimetaria,SEM-UBC COLL-0008,left
example_images/normal_image/Isotoma viridis (6fullslide) COLL-0005.jpeg,Isotoma viridis (6fullslide) COLL-0005.jpeg,SEM-UBC COLL-0005,FROM FILENAME,Isotoma viridis,SEM-UBC COLL-0005,fullslide
example_images/normal_image/Ptenothrix unicolor (2right) COLL-0004.jpeg,Ptenothrix unicolor (2right) COLL-0004.jpeg,SEM-UBC COLL-0004,FROM FILENAME,Ptenothrix unicolor,SEM-UBC COLL-0004,right
example_images/normal_image/Tomocerus brevimucronatus (5full) COLL-0012.jpeg,Tomocerus brevimucronatus (5full) COLL-0012.jpeg,SEM-UBC COLL-0012,FROM FILENAME,Tomocerus brevimucronatus,SEM-UBC COLL-0012,full
example_images/normal_image/Paruroctonus boreus (5claw) SCO-0001.jpeg,Paruroctonus boreus (5claw) SCO-0001.jpeg,SEM-UBC SCO-0001,FROM FILENAME,Paruroctonus boreus,SEM-UBC SCO-0001,claw
example_images/normal_image/Sinella baca (4right) COLL-0011.jpeg,Sinella baca (4right) COLL-0011.jpeg,SEM-UBC COLL-0011,FROM FILENAME,Sinella baca,SEM-UBC COLL-0011,right
example_images/normal_image/Lepidocyrtus cyaneus (1left) COLL-0006.jpeg,Lepidocyrtus cyaneus (1left) COLL-0006.jpeg,SEM-UBC COLL-0006,FROM FILENAME,Lepidocyrtus cyaneus,SEM-UBC COLL-0006,left
example_images/normal_image/Lamprochernes minor (6fullslide).jpeg,Lamprochernes minor (6fullslide).jpeg,SEM-UBC PSEU-0002,0.6849845592131957,Lamprochernes minor,,fullslide
example_images/normal_image/Sinella baca (3left) COLL-0011.jpeg,Sinella baca (3left) COLL-0011.jpeg,SEM-UBC COLL-0011,FROM FILENAME,Sinella baca,SEM-UBC COLL-0011,left
example_images/normal_image/Dicyrtoma sp. (6label) COLL-0010.jpeg,Dicyrtoma sp. (6label) COLL-0010.jpeg,SEM-UBC COLL-0010,FROM FILENAME,Dicyrtoma sp.,SEM-UBC COLL-0010,label
example_images/normal_image/Dicyrtoma sp. (2right) COLL-0010.jpeg,Dicyrtoma sp. (2right) COLL-0010.jpeg,SEM-UBC COLL-0010,FROM FILENAME,Dicyrtoma sp.,SEM-UBC COLL-0010,right
example_images/normal_image/Entomobrya multifasciata (1left) COLL-0007.jpeg,Entomobrya multifasciata (1left) COLL-0007.jpeg,SEM-UBC COLL-0007,FROM FILENAME,Entomobrya multifasciata,SEM-UBC COLL-0007,left
example_images/normal_image/Entomobrya multifasciata (6fullslide) COLL-0007.jpeg,Entomobrya multifasciata (6fullslide) COLL-0007.jpeg,SEM-UBC COLL-0007,FROM FILENAME,Entomobrya multifasciata,SEM-UBC COLL-0007,fullslide
example_images/normal_image/Folsomia fimetaria (2right) COLL-0008.jpeg,Folsomia fimetaria (2right) COLL-0008.jpeg,SEM-UBC COLL-0008,FROM FILENAME,Folsomia fimetaria,SEM-UBC COLL-0008,right
example_images/normal_image/Isotomurus palustris (2right) COLL-0002.jpeg,Isotomurus palustris (2right) COLL-0002.jpeg,SEM-UBC COLL-0002,FROM FILENAME,Isotomurus palustris,SEM-UBC COLL-0002,right
example_images/normal_image/Folsomia fimetaria (6fullslide) COLL-0008.jpeg,Folsomia fimetaria (6fullslide) COLL-0008.jpeg,SEM-UBC COLL-0008,FROM FILENAME,Folsomia fimetaria,SEM-UBC COLL-0008,fullslide
example_images/normal_image/Lamprochernes minor (2ventral).jpeg,Lamprochernes minor (2ventral).jpeg,SEM-UBC PSEU-0002,0.9735336504679252,Lamprochernes minor,,ventral
example_images/normal_image/Mundochthonius pacificus (1dorsal).jpeg,Mundochthonius pacificus (1dorsal).jpeg,SEM-UBC PSEU-0001,0.7963181985724029,Mundochthonius pacificus,,dorsal
example_images/normal_image/Isotomurus palustris (6fullslide) COLL-0002.jpeg,Isotomurus palustris (6fullslide) COLL-0002.jpeg,SEM-UBC COLL-0002,FROM FILENAME,Isotomurus palustris,SEM-UBC COLL-0002,fullslide
example_images/normal_image/Sinella baca (2ventral) COLL-0011.jpeg,Sinella baca (2ventral) COLL-0011.jpeg,SEM-UBC COLL-0011,FROM FILENAME,Sinella baca,SEM-UBC COLL-0011,ventral
example_images/normal_image/Lepidocyrtus cyaneus (6fullslide) COLL-0006.jpeg,Lepidocyrtus cyaneus (6fullslide) COLL-0006.jpeg,SEM-UBC COLL-0006,FROM FILENAME,Lepidocyrtus cyaneus,SEM-UBC COLL-0006,fullslide
example_images/normal_image/Tomocerus brevimucronatus (1left) COLL-0012.jpeg,Tomocerus brevimucronatus (1left) COLL-0012.jpeg,SEM-UBC COLL-0012,FROM FILENAME,Tomocerus brevimucronatus,SEM-UBC COLL-0012,left
example_images/normal_image/Morulina sp. (6label) COLL-0009.jpeg,Morulina sp. (6label) COLL-0009.jpeg,SEM-UBC COLL-0009,FROM FILENAME,Morulina sp.,SEM-UBC COLL-0009,label
example_images/normal_image/Morulina sp. (2ventral) COLL-0009.jpeg,Morulina sp. (2ventral) COLL-0009.jpeg,SEM-UBC COLL-0009,FROM FILENAME,Morulina sp.,SEM-UBC COLL-0009,ventral
example_images/normal_image/Lamprochernes minor (1dorsal).jpeg,Lamprochernes minor (1dorsal).jpeg,SEM-UBC PSEU-0002,0.7402586240557298,Lamprochernes minor,,dorsal
example_images/normal_image/Tomocerus brevimucronatus (2right) COLL-0012.jpeg,Tomocerus brevimucronatus (2right) COLL-0012.jpeg,SEM-UBC COLL-0012,FROM FILENAME,Tomocerus brevimucronatus,SEM-UBC COLL-0012,right
example_images/normal_image/Paruroctonus boreus (2ventral) SCO-0001.jpeg,Paruroctonus boreus (2ventral) SCO-0001.jpeg,SEM-UBC SCO-0001,FROM FILENAME,Paruroctonus boreus,SEM-UBC SCO-0001,ventral
example_images/normal_image/Tomocerus brevimucronatus (6label) COLL-0012.jpeg,Tomocerus brevimucronatus (6label) COLL-0012.jpeg,SEM-UBC COLL-0012,FROM FILENAME,Tomocerus brevimucronatus,SEM-UBC COLL-0012,label
example_images/normal_image/Ptenothrix unicolor (6fullslide) COLL-0004.jpeg,Ptenothrix unicolor (6fullslide) COLL-0004.jpeg,SEM-UBC COLL-0004,FROM FILENAME,Ptenothrix unicolor,SEM-UBC COLL-0004,fullslide
example_images/normal_image/Sinella baca (1dorsal) COLL-0011.jpeg,Sinella baca (1dorsal) COLL-0011.jpeg,SEM-UBC COLL-0011,FROM FILENAME,Sinella baca,SEM-UBC COLL-0011,dorsal
example_images/normal_image/Sinella baca (5full) COLL-0011.jpeg,Sinella baca (5full) COLL-0011.jpeg,SEM-UBC COLL-0011,FROM FILENAME,Sinella baca,SEM-UBC COLL-0011,full
example_images/normal_image/Dicyrtoma sp. (1left) COLL-0010.jpeg,Dicyrtoma sp. (1left) COLL-0010.jpeg,SEM-UBC COLL-0010,FROM FILENAME,Dicyrtoma sp.,SEM-UBC COLL-0010,left
example_images/normal_image/Paruroctonus boreus (3lateral) SCO-0001.jpeg,Paruroctonus boreus (3lateral) SCO-0001.jpeg,SEM-UBC SCO-0001,FROM FILENAME,Paruroctonus boreus,SEM-UBC SCO-0001,lateral
example_images/normal_image/Sinella baca (6label) COLL-0011.jpeg,Sinella baca (6label) COLL-0011.jpeg,SEM-UBC COLL-0011,FROM FILENAME,Sinella baca,SEM-UBC COLL-0011,label
example_images/normal_image/Entomobrya multifasciata (2right) COLL-0007.jpeg,Entomobrya multifasciata (2right) COLL-0007.jpeg,SEM-UBC COLL-0007,FROM FILENAME,Entomobrya multifasciata,SEM-UBC COLL-0007,right
example_images/normal_image/Ptenothrix unicolor (1left) COLL-0004.jpeg,Ptenothrix unicolor (1left) COLL-0004.jpeg,SEM-UBC COLL-0004,FROM FILENAME,Ptenothrix unicolor,SEM-UBC COLL-0004,left
example_images/normal_image/Paruroctonus boreus (1dorsal) SCO-0001.jpeg,Paruroctonus boreus (1dorsal) SCO-0001.jpeg,SEM-UBC SCO-0001,FROM FILENAME,Paruroctonus boreus,SEM-UBC SCO-0001,dorsal
example_images/normal_image/Isotoma viridis (2right) COLL-0005.jpeg,Isotoma viridis (2right) COLL-0005.jpeg,SEM-UBC COLL-0005,FROM FILENAME,Isotoma viridis,SEM-UBC COLL-0005,right
example_images/normal_image/Isotomurus palustris (1left) COLL-0002.jpeg,Isotomurus palustris (1left) COLL-0002.jpeg,SEM-UBC COLL-0002,FROM FILENAME,Isotomurus palustris,SEM-UBC COLL-0002,left
example_images/normal_image/Tomocerus flavescens (1left) COLL-0003.jpeg,Tomocerus flavescens (1left) COLL-0003.jpeg,SEM-UBC COLL-0003,FROM FILENAME,Tomocerus flavescens,SEM-UBC COLL-0003,left
example_images/normal_image/Lepidocyrtus cyaneus (2right) COLL-0006.jpeg,Lepidocyrtus cyaneus (2right) COLL-0006.jpeg,SEM-UBC COLL-0006,FROM FILENAME,Lepidocyrtus cyaneus,SEM-UBC COLL-0006,right
example_images/obstructed_image/Aegialia crassa (3lateral) .jpeg,Aegialia crassa (3lateral) .jpeg,SEM-UBC COL-27498,0.8380754176235164,Aegialia crassa,,lateral
example_images/obstructed_image/Aegialia conferta (3lateral)   SEM-UBC COL-32354.jpeg,Aegialia conferta (3lateral)   SEM-UBC COL-32354.jpeg,SEM-UBC COL-32354,FROM FILENAME,Aegialia conferta,SEM-UBC COL-32354,lateral
example_images/obstructed_image/Aegialia blanchardi (4front).jpeg,Aegialia blanchardi (4front).jpeg,SEM-UBC COL-27497,0.8309258116579747,Aegialia blanchardi,,front
example_images/obstructed_image/Hemerobius bistrigatus (2ventral).jpeg,Hemerobius bistrigatus (2ventral).jpeg,SEM-UBC NEU-0557,0.9334466736135331,Hemerobius bistrigatus,,ventral
example_images/obstructed_image/Aegialia criddlei (3lateral) .jpeg,Aegialia criddlei (3lateral) .jpeg,SEM-UBC COL-27499,0.999472362056467,Aegialia criddlei,,lateral
example_images/obstructed_image/Aphodius pedellus (4front).jpeg,Aphodius pedellus (4front).jpeg,SEM-UBC COL-27515,0.9978197105067471,Aphodius pedellus,,front
example_images/obstructed_image/Agulla bicolor female (2ventral).jpeg,Agulla bicolor female (2ventral).jpeg,SEM-UBC RAP-0165,0.933171347876396,Agulla bicolor female,,ventral
example_images/obstructed_image/Agulla bicolor female (3lateral).jpeg,Agulla bicolor female (3lateral).jpeg,SEM-UBC RAP-0165,0.8255599661752879,Agulla bicolor female,,lateral
example_images/obstructed_image/Hemerobius discretus (3lateral) .jpeg,Hemerobius discretus (3lateral) .jpeg,SEM-UBC NEU-0579,0.9511353479224123,Hemerobius discretus,,lateral
example_images/obstructed_image/Agulla bicolor male (3lateral).jpeg,Agulla bicolor male (3lateral).jpeg,SEM-UBC RAP-0166,0.7297259862315967,Agulla bicolor male,,lateral
example_images/obstructed_image/Lomamyia occidentalis (3lateral) SEM-UBC NEU-0472.jpeg,Lomamyia occidentalis (3lateral) SEM-UBC NEU-0472.jpeg,SEM-UBC NEU-0472,FROM FILENAME,Lomamyia occidentalis,SEM-UBC NEU-0472,lateral
example_images/obstructed_image/Sisyra fuscatus (3lateral).jpeg,Sisyra fuscatus (3lateral).jpeg,SEM-UBC NEU-1083,0.8985626109353988,Sisyra fuscatus,,lateral
